Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
918805   | Gustl Weishappel                | 0806910    | actor                                          
921044   | Klaus Wennemann                 | 0082096    | actor, archive_footage                         
922967   | Jack Weston                     | 0092890    | actor, archive_footage                         
928053   | Hans Wiktorsson                 | 0094468    | actor, soundtrack                              
930023   | Andy Williams                   | 7888964    | actor, music_artist, producer                  
930568   | Eugene Williams                 | 0107286    | actor, director                                
943823   | Tim Wylton                      | 0112130    | actor, archive_footage                         
946148   | 'Weird Al' Yankovic             | 0098546    | actor, music_artist, music_department          
949049   | Hiroyuki Yoshino                | 1334722    | actor, archive_footage                         
950725   | Gareth Yuen                     | 0448011    | actor, archive_footage                         
954348   | Johannes Zeiler                 | 2776900    | actor, archive_footage                         
956544   | Efrem Zimbalist Jr.             | 0062467    | actor, archive_footage, soundtrack             
957372   | Velimir 'Bata' Zivojinovic      | 0069452    | actor, archive_footage                         
990444   | Alberto Casanova                | 1687984    | actor                                          
991525   | The Statler Brothers            | 0114369    | actor, producer, soundtrack                    
991810   | Mahershala Ali                  | 12747748   | actor, archive_footage, producer               
997457   | Kiko Mascarenhas                | 2332518    | actor                                          
1001404  | David Matranga                  | 5626028    | actor, animation_department, miscellaneous     
1005239  | Luis Miranda                    | 0989007    | actor, writer                                  
1025967  | Felipe Cardoso                  | 3094452    | actor                                          
1040396  | Jung Suk-yong                   | 5700672    | actor                                          
1097221  | Kelson Henderson                | 0499549    | actor, archive_footage, miscellaneous          
1110625  | Wilmer Ramírez                  | 14090408   | actor, writer                                  
1120190  | Mick Blue                       | 13207736   | actor, camera_department, director             
1120335  | Kim Jeong-hak                   | 0306909    | actor                                          
1138201  | Song Jae-ho                     | 0353969    | actor                                          
1138942  | Aidan Drummond                  | 0380869    | actor                                          
1142722  | Keith Silverstein               | 11585486   | actor, miscellaneous, sound_department         
1153052  | Rob van Vuuren                  | 4761112    | actor, miscellaneous, writer                   
1160233  | Daisuke Sakaguchi               | 0851578    | actor, archive_footage                         
1168954  | Mario Fernandez                 | 0490714    | actor                                          
1192046  | Mike Rowe                       | 0458259    | actor, miscellaneous, producer                 
1204639  | Christopher Wehkamp             | 5626028    | actor, assistant_director, miscellaneous       
1206729  | William J. Eggleston            | 0119080    | actor, cinematographer, director               
1223801  | Xavier Fagnon                   | 2842418    | actor, miscellaneous                           
